nct_id,title,sponsor_name,sponsor_class,collaborators,n_collaborators,phase,study_type,enrollment,start_date,overall_status,conditions,n_sites,sponsor_clean,sponsor_final,sponsor_trial_count,phase_simple,complex_ta,c_sites,c_enroll,c_smallspon,c_latephase,c_complex,outsourcing_score,known_cro
NCT01854996,Relative Bioavailability With PF-05089771 Capsule Versus Oral Dispersion,Pfizer,INDUSTRY,,0,PHASE1,INTERVENTIONAL,12.0,2013-05,COMPLETED,Healthy,1,pfizer,pfizer,58,PHASE1,0,0.26075,0.05925,0.09375,0.3,0.0,0.175,0
NCT00301496,Randomized Controlled 8-week Crossover Evaluation of Compression Bandage Systems for Venous Leg Ulcers,Solventum US LLC,INDUSTRY,3M,1,,INTERVENTIONAL,80.0,2006-03,COMPLETED,Venous Ulcer,10,solventum us,solventum us,2,NA,0,0.68375,0.45775,0.5527500000000001,0.4,0.0,0.5385500000000001,0
NCT04596696,"Evaluate Immunogenicity, Safety, and Reactogenicity of Rotavac in Healthy Infants in Vietnam",Bharat Biotech International Limited,INDUSTRY,,0,PHASE3,INTERVENTIONAL,360.0,2017-12-20,COMPLETED,Rotavirus Gastroenteritis,1,bharat biotech,bharat biotech,2,PHASE3,0,0.26075,0.79525,0.5527500000000001,1.0,0.0,0.51425,0
NCT06532396,A Study Evaluating Multiple Ascending Doses of QRL-101 in Healthy Participants,QurAlis Corporation,INDUSTRY,,0,PHASE1,INTERVENTIONAL,60.0,2024-07-01,COMPLETED,Healthy Volunteers,1,quralis,quralis,1,PHASE1,0,0.26075,0.388,0.802,0.3,0.0,0.45576249999999996,0
NCT01107496,Evaluation of Immediate-Release Viloxazine in Adults With ADHD,"Supernus Pharmaceuticals, Inc.",INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,52.0,2010-06,COMPLETED,Attention-Deficit/Hyperactivity Disorder (ADHD),4,supernus,supernus,2,PHASE1,0,0.5685,0.3495,0.5527500000000001,0.3,0.0,0.4723875,0
NCT02729896,"A Study Evaluating Safety and Efficacy of Obinutuzumab, Polatuzumab Vedotin (Pola), and Atezolizumab (Atezo) in Participants With Relapsed or Refractory Follicular Lymphoma (FL) and Rituximab, Atezo, and Pola in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",Hoffmann-La Roche,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,36.0,2016-11-09,COMPLETED,Lymphoma,19,roche,roche,43,PHASE1,1,0.782,0.252,0.16749999999999998,0.3,1.0,0.45252499999999996,0
NCT04903496,Clinical Characteristics and Disease Burden of Diabetic Patients Based on Tianjin Regional Database,Boehringer Ingelheim,INDUSTRY,Chengdu Big Data Association,1,,OBSERVATIONAL,1233162.0,2021-09-06,COMPLETED,Diabetes,1,boehringer,boehringer,44,NA,0,0.26075,0.9985,0.14575000000000005,0.4,0.0,0.302125,0
NCT05594446,Morphometric Study of the Legs and Feet of Diabetic Patients in Order to Collect Data Intended to be Used to Measure by Dynamometry the Pressures Exerted by Several Medical Compression Socks at the Level of the Forefoot,Sigvaris France,INDUSTRY,Clin-Experts,1,,OBSERVATIONAL,89.0,2022-09-09,COMPLETED,Diabetes,1,sigvaris france,sigvaris france,1,NA,0,0.26075,0.48575,0.802,0.4,0.0,0.4805375,0
NCT00320346,Phase II Study of Pandemic Influenza Vaccine,Seqirus,INDUSTRY,,0,PHASE2,INTERVENTIONAL,400.0,2006-07,COMPLETED,Influenza,3,seqirus,seqirus,1,PHASE2,0,0.531,0.8135,0.802,0.6,0.0,0.6379,0
NCT02999646,Personalized and Cell-based Antitumor Immunization MVX-ONCO-1 in Advanced HNSCC,Maxivax SA,INDUSTRY,European Commission,1,,INTERVENTIONAL,16.0,2018-07-25,COMPLETED,Head and Neck Squamous Cell Carcinoma,4,maxivax,maxivax,1,NA,1,0.5685,0.0875,0.802,0.4,1.0,0.598425,0
NCT02433288,Rosuvastatin Adherence App Study in China,AstraZeneca,INDUSTRY,,0,,INTERVENTIONAL,885.0,2015-07-20,COMPLETED,Dyslipidemia; Hyperlipidemia,25,astrazeneca,astrazeneca,83,NA,0,0.81525,0.917,0.020499999999999963,0.4,0.0,0.44421249999999995,0
NCT04494503,Study of APG2575 Single Agent and Combination Therapy in Patients With Relapsed/Refractory CLL/SLL,Ascentage Pharma Group Inc.,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,123.0,2020-08-31,RECRUITING,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,18,ascentage,ascentage,4,PHASE1,1,0.77375,0.575,0.43674999999999997,0.3,1.0,0.5761750000000001,0
NCT02017327,Safety and Efficacy Assessment of Monoprost® in Comparison With Lumigan® 0.01 % and Lumigan® 0.03% Unit Dose,Laboratoires Thea,INDUSTRY,,0,PHASE4,INTERVENTIONAL,379.0,2013-12,COMPLETED,Primary Open Angle Glaucoma; Ocular Hypertension,1,laboratoires thea,laboratoires thea,4,PHASE4,0,0.26075,0.806,0.43674999999999997,0.5,0.0,0.39972499999999994,0
NCT04641442,"Study to Evaluate the Efficacy, Safety and Tolerability of MAS825 in Patients With Monogenic IL-18 Driven Autoinflammatory Diseases, Including NLRC4-GOF, XIAP Deficiency, or CDC42 Mutations",Novartis Pharmaceuticals,INDUSTRY,,0,PHASE2,INTERVENTIONAL,17.0,2020-12-18,ACTIVE_NOT_RECRUITING,"NLRC4-GOF, AIFEC (Autoinflammation With Infantile Enterocolitis), XIAP Deficiency, CDC42 Mutations",12,novartis,novartis,53,PHASE2,0,0.716,0.0935,0.12150000000000005,0.6,0.0,0.392475,0
NCT00775242,Efficacy and Safety of Estradiol and Progesterone Microspheres for the Treatment of Climacteric Symptoms.,"Centro A.F. de Estudios Tecnologicos, S.A.",INDUSTRY,,0,PHASE2; PHASE3,INTERVENTIONAL,103.0,2007-04,COMPLETED,Menopause,1,centro a f de estudios tecnologicos s a,centro a f de estudios tecnologicos s a,1,PHASE2,0,0.26075,0.53275,0.802,0.6,0.0,0.5152375,0
NCT02201342,Pharmacokinetic/Pharmacodynamic Study of Udenafil in Adolescents,Mezzion Pharma Co. Ltd,INDUSTRY,"National Heart, Lung, and Blood Institute (NHLBI); Pediatric Heart Network",2,PHASE1; PHASE2,INTERVENTIONAL,36.0,2014-07,COMPLETED,Single Ventricle Heart Disease After Fontan Surgery,6,mezzion,mezzion,1,PHASE1,0,0.62275,0.252,0.802,0.3,0.0,0.5688625,0
NCT04144842,Phase 1 Study in Patients With Advanced Solid Malignancies to Evaluate the Safety of ATOR-1017,Alligator Bioscience AB,INDUSTRY,,0,PHASE1,INTERVENTIONAL,27.0,2019-12-03,COMPLETED,Solid Tumor; Neoplasms,3,alligator bioscience ab,alligator bioscience ab,1,PHASE1,1,0.531,0.177,0.802,0.3,1.0,0.57925,0
NCT00286442,Efficacy and Safety of Alogliptin Combined With Metformin in Participants With Type 2 Diabetes Mellitus,Takeda,INDUSTRY,,0,PHASE3,INTERVENTIONAL,527.0,2006-03,COMPLETED,Diabetes Mellitus,56,takeda,takeda,25,PHASE3,0,0.91175,0.865,0.27225,1.0,0.0,0.6509,0
NCT04993586,Phase I/II Study of COVID-19 DNA Vaccine (AG0302-COVID19 High-dose),"AnGes, Inc.",INDUSTRY,Japan Agency for Medical Research and Development,1,PHASE1; PHASE2,INTERVENTIONAL,422.0,2021-07-29,COMPLETED,COVID-19 Lower Respiratory Infection,6,anges,anges,1,PHASE1,0,0.62275,0.8265,0.802,0.3,0.0,0.6263125,0
NCT01944670,Multi-Center Trial to Evaluate an Internal Joint Stabilizer - Elbow,"Skeletal Dynamics, LLC",INDUSTRY,,0,,INTERVENTIONAL,26.0,2013-08,COMPLETED,Trauma; Chronic Elbow Dislocation,1,skeletal dynamics,skeletal dynamics,1,NA,0,0.26075,0.1705,0.802,0.4,0.0,0.4490125,0
NCT04543370,Study of Edasalonexent With Midazolam and Deflazacort in Healthy Subjects,Catabasis Pharmaceuticals,INDUSTRY,,0,PHASE1,INTERVENTIONAL,26.0,2020-08-08,COMPLETED,Healthy,1,catabasis,catabasis,1,PHASE1,0,0.26075,0.1705,0.802,0.3,0.0,0.43401249999999997,0
NCT06696170,CellFX® Nanosecond Pulsed Field Ablation (PFA) 360 Catheter Ablation System for Treatment of Atrial Fibrillation,"Pulse Biosciences, Inc.",INDUSTRY,,0,,INTERVENTIONAL,60.0,2024-07-25,RECRUITING,Atrial Fibrillation Paroxysmal; Cardiac Ablation; Cardiac Arrhythmia,3,pulse,pulse,2,NA,0,0.531,0.388,0.5527500000000001,0.4,0.0,0.4781125,0
